[661707.4759520034, 3553919.615123693]
[665082.6897948124, 3540840.20880421]
[667938.940468481, 3555796.6766793183]
[668393.2912152419, 3545345.741697856]
[661213.0345012143, 3538656.4559746096]
[662318.1605510048, 3539532.84084941]
[672721.2985789458, 3546537.553742053]
[666299.8200084327, 3551673.2699351264]
[665569.3047661474, 3540288.7412723335]
[670884.792132553, 3541433.434606771]
[672803.4391673151, 3535726.7855153037]
[664363.054844261, 3544521.4294881225]
[665357.4697457257, 3534366.5081116734]
[679004.2531872244, 3550088.6882304363]
[669380.0338822488, 3548864.535134819]
[668324.6922719493, 3547388.9765374344]
[669380.0338822488, 3548864.535134819]
[677352.5838351973, 3554784.1960693067]
[671795.3715131559, 3551576.60517342]
[672669.7210817649, 3541926.375185139]
[673631.8368188429, 3558724.764831002]
[658403.7212372882, 3537531.234947991]
[669380.0338822488, 3548864.535134819]
[673609.782956827, 3562413.5544111803]
[678495.7733626803, 3549278.895303848]
[672203.0138693396, 3541799.4293222595]
[669380.0338822488, 3548864.535134819]
[671871.4491301206, 3534526.4381193602]
[651585.0706690627, 3541580.6957870442]
[665769.276196511, 3542455.9677253026]
[669370.1922957906, 3556865.32489088]
[662726.2078522261, 3543328.813591317]
[669380.0338822488, 3548864.535134819]
[672504.8995893123, 3554399.3931824127]
[662890.7484697844, 3545530.7924376465]
[660719.1790545316, 3547930.2234035796]
[673338.2660731544, 3544966.3950163135]
[680235.5652094807, 3547897.511796199]
[669380.5268393891, 3562963.3609229582]
[657454.4688694773, 3538817.608057195]
